2018-02-23 17:25:49.885 INFO  TaskDaemon:23 - 开启守护线程...
2018-02-23 17:25:53.352 INFO  TaskRunner:54 - 当前任务URL：http://www.zhihu.com/api/v4/members/huang-ling-87-25/activities?limit=8&after_id=1517947539&desktop=True，当前层深：3
2018-02-23 17:25:53.352 INFO  PluginFactory:136 - 找到解析插件：plugins.ZhihuPlugin
2018-02-23 17:25:53.352 INFO  AbstractPlugin:37 - http://www.zhihu.com/api/v4/members/huang-ling-87-25/activities?limit=8&after_id=1517947539&desktop=True 开始运行...
2018-02-23 17:25:53.357 INFO  HttpUtil:230 - 使用代理下载，proxy_ip:59.173.72.90, proxy_port:43867
2018-02-23 17:25:53.357 INFO  HttpUtil:65 - 卡死位置1
2018-02-23 17:25:54.40 WARN  ResponseProcessCookies:130 - Invalid cookie header: "Set-Cookie: q_c1=750b39e514294367b0d5756d428c1b73|1519377953000|1519377953000; Domain=zhihu.com; expires=Mon, 22 Feb 2021 09:25:53 GMT; Path=/". Invalid 'expires' attribute: Mon, 22 Feb 2021 09:25:53 GMT
2018-02-23 17:25:54.40 INFO  HttpUtil:70 - 卡死位置2
2018-02-23 17:25:54.40 INFO  HttpUtil:75 - 卡死位置3
2018-02-23 17:25:54.80 INFO  HttpUtil:80 - 卡死位置4
2018-02-23 17:25:54.81 INFO  HttpUtil:83 - 卡死位置5
2018-02-23 17:25:54.81 INFO  AbstractPlugin:41 - 开始解析详情页...
2018-02-23 17:25:54.81 INFO  ZhihuPlugin:36 - 开始解析数据...
2018-02-23 17:25:54.86 INFO  ZhihuPlugin:75 - 共找到[7]条记录
2018-02-23 17:25:54.552 INFO  cluster:71 - Cluster created with settings {hosts=[localhost:27017], mode=SINGLE, requiredClusterType=UNKNOWN, serverSelectionTimeout='30000 ms', maxWaitQueueSize=500}
2018-02-23 17:25:54.596 INFO  cluster:71 - Cluster description not yet available. Waiting for 30000 ms before timing out
2018-02-23 17:25:54.603 INFO  connection:71 - Opened connection [connectionId{localValue:1, serverValue:38}] to localhost:27017
2018-02-23 17:25:54.605 INFO  cluster:71 - Monitor thread successfully connected to server with description ServerDescription{address=localhost:27017, type=STANDALONE, state=CONNECTED, ok=true, version=ServerVersion{versionList=[3, 4, 7]}, minWireVersion=0, maxWireVersion=5, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=null, roundTripTimeNanos=1054665}
2018-02-23 17:25:54.619 INFO  connection:71 - Opened connection [connectionId{localValue:2, serverValue:39}] to localhost:27017
2018-02-23 17:25:54.751 INFO  ZhihuPlugin:90 - 解析任务完成...
2018-02-23 17:25:54.892 INFO  TaskDaemon:31 - 定时更新代理配置, proxy_ip:117.86.9.177, proxy_port:61842
2018-02-23 17:25:55.51 INFO  TaskRunner:54 - 当前任务URL：https://www.zhihu.com/api/v4/members/huang-ling-87-25/activities?limit=8&after_id=1515368406&desktop=True，当前层深：4
2018-02-23 17:25:55.51 INFO  PluginFactory:136 - 找到解析插件：plugins.ZhihuPlugin
2018-02-23 17:25:55.52 INFO  AbstractPlugin:37 - https://www.zhihu.com/api/v4/members/huang-ling-87-25/activities?limit=8&after_id=1515368406&desktop=True 开始运行...
2018-02-23 17:25:55.55 INFO  HttpUtil:230 - 使用代理下载，proxy_ip:117.86.9.177, proxy_port:61842
2018-02-23 17:25:55.55 INFO  HttpUtil:65 - 卡死位置1
2018-02-23 17:25:55.830 WARN  ResponseProcessCookies:130 - Invalid cookie header: "Set-Cookie: q_c1=82c36d890033430baed83b1aa1d610b8|1519377955000|1519377955000; Domain=zhihu.com; expires=Mon, 22 Feb 2021 09:25:55 GMT; Path=/". Invalid 'expires' attribute: Mon, 22 Feb 2021 09:25:55 GMT
2018-02-23 17:25:55.830 INFO  HttpUtil:70 - 卡死位置2
2018-02-23 17:25:55.830 INFO  HttpUtil:75 - 卡死位置3
2018-02-23 17:25:55.963 INFO  HttpUtil:80 - 卡死位置4
2018-02-23 17:25:55.963 INFO  HttpUtil:83 - 卡死位置5
2018-02-23 17:25:55.964 INFO  AbstractPlugin:41 - 开始解析详情页...
2018-02-23 17:25:55.964 INFO  ZhihuPlugin:36 - 开始解析数据...
2018-02-23 17:25:55.967 INFO  ZhihuPlugin:75 - 共找到[8]条记录
2018-02-23 17:25:55.972 INFO  ZhihuPlugin:90 - 解析任务完成...
2018-02-23 17:25:56.272 INFO  TaskRunner:54 - 当前任务URL：https://www.zhihu.com/api/v4/members/huang-ling-87-25/activities?limit=8&after_id=1511498970&desktop=True，当前层深：5
2018-02-23 17:25:56.273 INFO  PluginFactory:136 - 找到解析插件：plugins.ZhihuPlugin
2018-02-23 17:25:56.273 INFO  AbstractPlugin:37 - https://www.zhihu.com/api/v4/members/huang-ling-87-25/activities?limit=8&after_id=1511498970&desktop=True 开始运行...
2018-02-23 17:25:56.278 INFO  HttpUtil:230 - 使用代理下载，proxy_ip:117.86.9.177, proxy_port:61842
2018-02-23 17:25:56.278 INFO  HttpUtil:65 - 卡死位置1
2018-02-23 17:25:56.995 WARN  ResponseProcessCookies:130 - Invalid cookie header: "Set-Cookie: q_c1=f18e6b27031b45e28ef3de83c5831f27|1519377956000|1519377956000; Domain=zhihu.com; expires=Mon, 22 Feb 2021 09:25:56 GMT; Path=/". Invalid 'expires' attribute: Mon, 22 Feb 2021 09:25:56 GMT
2018-02-23 17:25:56.996 INFO  HttpUtil:70 - 卡死位置2
2018-02-23 17:25:56.996 INFO  HttpUtil:75 - 卡死位置3
2018-02-23 17:25:57.11 INFO  HttpUtil:80 - 卡死位置4
2018-02-23 17:25:57.11 INFO  HttpUtil:83 - 卡死位置5
2018-02-23 17:25:57.12 INFO  AbstractPlugin:41 - 开始解析详情页...
2018-02-23 17:25:57.12 INFO  ZhihuPlugin:36 - 开始解析数据...
2018-02-23 17:25:57.13 INFO  ZhihuPlugin:75 - 共找到[6]条记录
2018-02-23 17:25:57.16 INFO  ZhihuPlugin:90 - 解析任务完成...
2018-02-23 17:25:57.316 INFO  TaskRunner:54 - 当前任务URL：https://www.zhihu.com/api/v4/members/huang-ling-87-25/activities?limit=8&after_id=1510639359&desktop=True，当前层深：6
2018-02-23 17:25:57.316 INFO  PluginFactory:136 - 找到解析插件：plugins.ZhihuPlugin
2018-02-23 17:25:57.316 INFO  AbstractPlugin:37 - https://www.zhihu.com/api/v4/members/huang-ling-87-25/activities?limit=8&after_id=1510639359&desktop=True 开始运行...
2018-02-23 17:25:57.321 INFO  HttpUtil:230 - 使用代理下载，proxy_ip:117.86.9.177, proxy_port:61842
2018-02-23 17:25:57.321 INFO  HttpUtil:65 - 卡死位置1
2018-02-23 17:25:57.987 WARN  ResponseProcessCookies:130 - Invalid cookie header: "Set-Cookie: q_c1=f9e39c3e172b4144b4b843153a7e06d1|1519377957000|1519377957000; Domain=zhihu.com; expires=Mon, 22 Feb 2021 09:25:57 GMT; Path=/". Invalid 'expires' attribute: Mon, 22 Feb 2021 09:25:57 GMT
2018-02-23 17:25:57.988 INFO  HttpUtil:70 - 卡死位置2
2018-02-23 17:25:57.988 INFO  HttpUtil:75 - 卡死位置3
2018-02-23 17:25:58.39 INFO  HttpUtil:80 - 卡死位置4
2018-02-23 17:25:58.40 INFO  HttpUtil:83 - 卡死位置5
2018-02-23 17:25:58.40 INFO  AbstractPlugin:41 - 开始解析详情页...
2018-02-23 17:25:58.41 INFO  ZhihuPlugin:36 - 开始解析数据...
2018-02-23 17:25:58.42 INFO  ZhihuPlugin:75 - 共找到[8]条记录
2018-02-23 17:25:58.46 INFO  ZhihuPlugin:90 - 解析任务完成...
2018-02-23 17:25:58.346 INFO  TaskRunner:54 - 当前任务URL：https://www.zhihu.com/api/v4/members/huang-ling-87-25/activities?limit=8&after_id=1509328860&desktop=True，当前层深：7
2018-02-23 17:25:58.346 INFO  PluginFactory:136 - 找到解析插件：plugins.ZhihuPlugin
2018-02-23 17:25:58.347 INFO  AbstractPlugin:37 - https://www.zhihu.com/api/v4/members/huang-ling-87-25/activities?limit=8&after_id=1509328860&desktop=True 开始运行...
2018-02-23 17:25:58.350 INFO  HttpUtil:230 - 使用代理下载，proxy_ip:117.86.9.177, proxy_port:61842
2018-02-23 17:25:58.350 INFO  HttpUtil:65 - 卡死位置1
2018-02-23 17:25:59.282 WARN  ResponseProcessCookies:130 - Invalid cookie header: "Set-Cookie: q_c1=bed78320f46040d1aeaf9dbeb7f3c0df|1519377958000|1519377958000; Domain=zhihu.com; expires=Mon, 22 Feb 2021 09:25:58 GMT; Path=/". Invalid 'expires' attribute: Mon, 22 Feb 2021 09:25:58 GMT
2018-02-23 17:25:59.283 INFO  HttpUtil:70 - 卡死位置2
2018-02-23 17:25:59.283 INFO  HttpUtil:75 - 卡死位置3
2018-02-23 17:25:59.426 INFO  HttpUtil:80 - 卡死位置4
2018-02-23 17:25:59.426 INFO  HttpUtil:83 - 卡死位置5
2018-02-23 17:25:59.427 INFO  AbstractPlugin:41 - 开始解析详情页...
2018-02-23 17:25:59.427 INFO  ZhihuPlugin:36 - 开始解析数据...
2018-02-23 17:25:59.428 INFO  ZhihuPlugin:75 - 共找到[8]条记录
2018-02-23 17:25:59.433 INFO  ZhihuPlugin:90 - 解析任务完成...
2018-02-23 17:25:59.734 INFO  TaskRunner:54 - 当前任务URL：https://www.zhihu.com/api/v4/members/huang-ling-87-25/activities?limit=8&after_id=1506584131&desktop=True，当前层深：8
2018-02-23 17:25:59.734 INFO  PluginFactory:136 - 找到解析插件：plugins.ZhihuPlugin
2018-02-23 17:25:59.734 INFO  AbstractPlugin:37 - https://www.zhihu.com/api/v4/members/huang-ling-87-25/activities?limit=8&after_id=1506584131&desktop=True 开始运行...
2018-02-23 17:25:59.738 INFO  HttpUtil:230 - 使用代理下载，proxy_ip:117.86.9.177, proxy_port:61842
2018-02-23 17:25:59.739 INFO  HttpUtil:65 - 卡死位置1
2018-02-23 17:25:59.894 INFO  TaskDaemon:31 - 定时更新代理配置, proxy_ip:171.12.167.116, proxy_port:61342
2018-02-23 17:26:00.283 WARN  ResponseProcessCookies:130 - Invalid cookie header: "Set-Cookie: q_c1=0d11509e263547868411198917e168bf|1519377960000|1519377960000; Domain=zhihu.com; expires=Mon, 22 Feb 2021 09:26:00 GMT; Path=/". Invalid 'expires' attribute: Mon, 22 Feb 2021 09:26:00 GMT
2018-02-23 17:26:00.283 INFO  HttpUtil:70 - 卡死位置2
2018-02-23 17:26:00.283 INFO  HttpUtil:75 - 卡死位置3
2018-02-23 17:26:00.363 INFO  HttpUtil:80 - 卡死位置4
2018-02-23 17:26:00.364 INFO  HttpUtil:83 - 卡死位置5
2018-02-23 17:26:00.364 INFO  AbstractPlugin:41 - 开始解析详情页...
2018-02-23 17:26:00.364 INFO  ZhihuPlugin:36 - 开始解析数据...
2018-02-23 17:26:00.365 INFO  ZhihuPlugin:75 - 共找到[7]条记录
2018-02-23 17:26:00.369 INFO  ZhihuPlugin:90 - 解析任务完成...
2018-02-23 17:26:00.669 INFO  TaskRunner:54 - 当前任务URL：https://www.zhihu.com/api/v4/members/huang-ling-87-25/activities?limit=8&after_id=1504135328&desktop=True，当前层深：9
2018-02-23 17:26:00.669 INFO  PluginFactory:136 - 找到解析插件：plugins.ZhihuPlugin
2018-02-23 17:26:00.670 INFO  AbstractPlugin:37 - https://www.zhihu.com/api/v4/members/huang-ling-87-25/activities?limit=8&after_id=1504135328&desktop=True 开始运行...
2018-02-23 17:26:00.673 INFO  HttpUtil:230 - 使用代理下载，proxy_ip:171.12.167.116, proxy_port:61342
2018-02-23 17:26:00.674 INFO  HttpUtil:65 - 卡死位置1
2018-02-23 17:26:04.896 INFO  TaskDaemon:31 - 定时更新代理配置, proxy_ip:120.34.35.65, proxy_port:27016
2018-02-23 17:26:08.204 WARN  ResponseProcessCookies:130 - Invalid cookie header: "Set-Cookie: q_c1=2574c4189dfd42d68920446383376218|1519377967000|1519377967000; Domain=zhihu.com; expires=Mon, 22 Feb 2021 09:26:07 GMT; Path=/". Invalid 'expires' attribute: Mon, 22 Feb 2021 09:26:07 GMT
2018-02-23 17:26:08.204 INFO  HttpUtil:70 - 卡死位置2
2018-02-23 17:26:08.204 INFO  HttpUtil:75 - 卡死位置3
2018-02-23 17:26:08.773 INFO  HttpUtil:80 - 卡死位置4
2018-02-23 17:26:08.773 INFO  HttpUtil:83 - 卡死位置5
2018-02-23 17:26:08.773 INFO  AbstractPlugin:41 - 开始解析详情页...
2018-02-23 17:26:08.773 INFO  ZhihuPlugin:36 - 开始解析数据...
2018-02-23 17:26:08.775 INFO  ZhihuPlugin:75 - 共找到[8]条记录
2018-02-23 17:26:08.779 INFO  ZhihuPlugin:90 - 解析任务完成...
2018-02-23 17:26:09.79 INFO  TaskRunner:54 - 当前任务URL：https://www.zhihu.com/api/v4/members/huang-ling-87-25/activities?limit=8&after_id=1503209004&desktop=True，当前层深：10
2018-02-23 17:26:09.79 INFO  PluginFactory:136 - 找到解析插件：plugins.ZhihuPlugin
2018-02-23 17:26:09.79 INFO  AbstractPlugin:37 - https://www.zhihu.com/api/v4/members/huang-ling-87-25/activities?limit=8&after_id=1503209004&desktop=True 开始运行...
2018-02-23 17:26:09.89 INFO  HttpUtil:230 - 使用代理下载，proxy_ip:120.34.35.65, proxy_port:27016
2018-02-23 17:26:09.89 INFO  HttpUtil:65 - 卡死位置1
2018-02-23 17:26:09.898 INFO  TaskDaemon:31 - 定时更新代理配置, proxy_ip:113.121.243.83, proxy_port:24984
2018-02-23 17:26:10.305 WARN  ResponseProcessCookies:130 - Invalid cookie header: "Set-Cookie: q_c1=d0e522244a3b434a9e329f9a84963360|1519377970000|1519377970000; Domain=zhihu.com; expires=Mon, 22 Feb 2021 09:26:10 GMT; Path=/". Invalid 'expires' attribute: Mon, 22 Feb 2021 09:26:10 GMT
2018-02-23 17:26:10.305 INFO  HttpUtil:70 - 卡死位置2
2018-02-23 17:26:10.305 INFO  HttpUtil:75 - 卡死位置3
2018-02-23 17:26:10.590 INFO  HttpUtil:80 - 卡死位置4
2018-02-23 17:26:10.591 INFO  HttpUtil:83 - 卡死位置5
2018-02-23 17:26:10.591 INFO  AbstractPlugin:41 - 开始解析详情页...
2018-02-23 17:26:10.591 INFO  ZhihuPlugin:36 - 开始解析数据...
2018-02-23 17:26:10.593 INFO  ZhihuPlugin:75 - 共找到[6]条记录
2018-02-23 17:26:10.596 INFO  ZhihuPlugin:90 - 解析任务完成...
2018-02-23 17:26:10.897 INFO  TaskRunner:54 - 当前任务URL：https://www.zhihu.com/api/v4/members/huang-ling-87-25/activities?limit=8&after_id=1502426071&desktop=True，当前层深：11
2018-02-23 17:26:10.897 INFO  PluginFactory:136 - 找到解析插件：plugins.ZhihuPlugin
2018-02-23 17:26:10.897 INFO  AbstractPlugin:37 - https://www.zhihu.com/api/v4/members/huang-ling-87-25/activities?limit=8&after_id=1502426071&desktop=True 开始运行...
2018-02-23 17:26:10.900 INFO  HttpUtil:230 - 使用代理下载，proxy_ip:113.121.243.83, proxy_port:24984
2018-02-23 17:26:10.901 INFO  HttpUtil:65 - 卡死位置1
2018-02-23 17:26:11.998 WARN  ResponseProcessCookies:130 - Invalid cookie header: "Set-Cookie: q_c1=2a640a5192b64507a2618106995c7b26|1519377971000|1519377971000; Domain=zhihu.com; expires=Mon, 22 Feb 2021 09:26:11 GMT; Path=/". Invalid 'expires' attribute: Mon, 22 Feb 2021 09:26:11 GMT
2018-02-23 17:26:11.998 INFO  HttpUtil:70 - 卡死位置2
2018-02-23 17:26:11.998 INFO  HttpUtil:75 - 卡死位置3
2018-02-23 17:26:12.58 INFO  HttpUtil:80 - 卡死位置4
2018-02-23 17:26:12.59 INFO  HttpUtil:83 - 卡死位置5
2018-02-23 17:26:12.59 INFO  AbstractPlugin:41 - 开始解析详情页...
2018-02-23 17:26:12.59 INFO  ZhihuPlugin:36 - 开始解析数据...
2018-02-23 17:26:12.60 INFO  ZhihuPlugin:75 - 共找到[5]条记录
2018-02-23 17:26:12.63 INFO  ZhihuPlugin:90 - 解析任务完成...
2018-02-23 17:26:12.363 INFO  TaskRunner:54 - 当前任务URL：https://www.zhihu.com/api/v4/members/huang-ling-87-25/activities?limit=8&after_id=1502277675&desktop=True，当前层深：12
2018-02-23 17:26:12.363 INFO  PluginFactory:136 - 找到解析插件：plugins.ZhihuPlugin
2018-02-23 17:26:12.364 INFO  AbstractPlugin:37 - https://www.zhihu.com/api/v4/members/huang-ling-87-25/activities?limit=8&after_id=1502277675&desktop=True 开始运行...
2018-02-23 17:26:12.367 INFO  HttpUtil:230 - 使用代理下载，proxy_ip:113.121.243.83, proxy_port:24984
2018-02-23 17:26:12.368 INFO  HttpUtil:65 - 卡死位置1
2018-02-23 17:26:14.900 INFO  TaskDaemon:31 - 定时更新代理配置, proxy_ip:113.121.160.65, proxy_port:33483
2018-02-23 17:26:16.944 WARN  ResponseProcessCookies:130 - Invalid cookie header: "Set-Cookie: q_c1=7a4c4d8557234488a89bf5f9d24f14de|1519377976000|1519377976000; Domain=zhihu.com; expires=Mon, 22 Feb 2021 09:26:16 GMT; Path=/". Invalid 'expires' attribute: Mon, 22 Feb 2021 09:26:16 GMT
2018-02-23 17:26:16.944 INFO  HttpUtil:70 - 卡死位置2
2018-02-23 17:26:16.944 INFO  HttpUtil:75 - 卡死位置3
2018-02-23 17:26:17.10 INFO  HttpUtil:80 - 卡死位置4
2018-02-23 17:26:17.10 INFO  HttpUtil:83 - 卡死位置5
2018-02-23 17:26:17.10 INFO  AbstractPlugin:41 - 开始解析详情页...
2018-02-23 17:26:17.11 INFO  ZhihuPlugin:36 - 开始解析数据...
2018-02-23 17:26:17.11 INFO  ZhihuPlugin:75 - 共找到[8]条记录
2018-02-23 17:26:17.14 INFO  ZhihuPlugin:90 - 解析任务完成...
2018-02-23 17:26:17.314 INFO  TaskRunner:54 - 当前任务URL：https://www.zhihu.com/api/v4/members/huang-ling-87-25/activities?limit=8&after_id=1500296892&desktop=True，当前层深：13
2018-02-23 17:26:17.314 INFO  PluginFactory:136 - 找到解析插件：plugins.ZhihuPlugin
2018-02-23 17:26:17.314 INFO  AbstractPlugin:37 - https://www.zhihu.com/api/v4/members/huang-ling-87-25/activities?limit=8&after_id=1500296892&desktop=True 开始运行...
2018-02-23 17:26:17.317 INFO  HttpUtil:230 - 使用代理下载，proxy_ip:113.121.160.65, proxy_port:33483
2018-02-23 17:26:17.318 INFO  HttpUtil:65 - 卡死位置1
2018-02-23 17:26:18.62 WARN  ResponseProcessCookies:130 - Invalid cookie header: "Set-Cookie: q_c1=3df672ae7e1449f59bbac2a7c459d846|1519377978000|1519377978000; Domain=zhihu.com; expires=Mon, 22 Feb 2021 09:26:18 GMT; Path=/". Invalid 'expires' attribute: Mon, 22 Feb 2021 09:26:18 GMT
2018-02-23 17:26:18.63 INFO  HttpUtil:70 - 卡死位置2
2018-02-23 17:26:18.63 INFO  HttpUtil:75 - 卡死位置3
2018-02-23 17:26:18.66 INFO  HttpUtil:80 - 卡死位置4
2018-02-23 17:26:18.67 INFO  HttpUtil:83 - 卡死位置5
2018-02-23 17:26:18.67 INFO  AbstractPlugin:41 - 开始解析详情页...
2018-02-23 17:26:18.67 INFO  ZhihuPlugin:36 - 开始解析数据...
2018-02-23 17:26:18.68 INFO  ZhihuPlugin:75 - 共找到[8]条记录
2018-02-23 17:26:18.71 INFO  ZhihuPlugin:90 - 解析任务完成...
2018-02-23 17:26:18.371 INFO  TaskRunner:54 - 当前任务URL：https://www.zhihu.com/api/v4/members/huang-ling-87-25/activities?limit=8&after_id=1499908457&desktop=True，当前层深：14
2018-02-23 17:26:18.371 INFO  PluginFactory:136 - 找到解析插件：plugins.ZhihuPlugin
2018-02-23 17:26:18.371 INFO  AbstractPlugin:37 - https://www.zhihu.com/api/v4/members/huang-ling-87-25/activities?limit=8&after_id=1499908457&desktop=True 开始运行...
2018-02-23 17:26:18.375 INFO  HttpUtil:230 - 使用代理下载，proxy_ip:113.121.160.65, proxy_port:33483
2018-02-23 17:26:18.375 INFO  HttpUtil:65 - 卡死位置1
2018-02-23 17:26:19.99 WARN  ResponseProcessCookies:130 - Invalid cookie header: "Set-Cookie: q_c1=7cc7f111fda04f9aae3440d1799d5706|1519377979000|1519377979000; Domain=zhihu.com; expires=Mon, 22 Feb 2021 09:26:19 GMT; Path=/". Invalid 'expires' attribute: Mon, 22 Feb 2021 09:26:19 GMT
2018-02-23 17:26:19.99 INFO  HttpUtil:70 - 卡死位置2
2018-02-23 17:26:19.99 INFO  HttpUtil:75 - 卡死位置3
2018-02-23 17:26:19.170 INFO  HttpUtil:80 - 卡死位置4
2018-02-23 17:26:19.170 INFO  HttpUtil:83 - 卡死位置5
2018-02-23 17:26:19.171 INFO  AbstractPlugin:41 - 开始解析详情页...
2018-02-23 17:26:19.171 INFO  ZhihuPlugin:36 - 开始解析数据...
2018-02-23 17:26:19.172 INFO  ZhihuPlugin:75 - 共找到[8]条记录
2018-02-23 17:26:19.175 INFO  ZhihuPlugin:90 - 解析任务完成...
2018-02-23 17:26:19.475 INFO  TaskRunner:54 - 当前任务URL：https://www.zhihu.com/api/v4/members/huang-ling-87-25/activities?limit=8&after_id=1499845308&desktop=True，当前层深：15
2018-02-23 17:26:19.476 INFO  PluginFactory:136 - 找到解析插件：plugins.ZhihuPlugin
2018-02-23 17:26:19.476 INFO  AbstractPlugin:37 - https://www.zhihu.com/api/v4/members/huang-ling-87-25/activities?limit=8&after_id=1499845308&desktop=True 开始运行...
2018-02-23 17:26:19.480 INFO  HttpUtil:230 - 使用代理下载，proxy_ip:113.121.160.65, proxy_port:33483
2018-02-23 17:26:19.480 INFO  HttpUtil:65 - 卡死位置1
2018-02-23 17:26:19.901 INFO  TaskDaemon:31 - 定时更新代理配置, proxy_ip:180.120.210.78, proxy_port:41496
2018-02-23 17:26:20.360 WARN  ResponseProcessCookies:130 - Invalid cookie header: "Set-Cookie: q_c1=d92d70e6659f4ef1a815c8fe43e7d94e|1519377980000|1519377980000; Domain=zhihu.com; expires=Mon, 22 Feb 2021 09:26:20 GMT; Path=/". Invalid 'expires' attribute: Mon, 22 Feb 2021 09:26:20 GMT
2018-02-23 17:26:20.361 INFO  HttpUtil:70 - 卡死位置2
2018-02-23 17:26:20.361 INFO  HttpUtil:75 - 卡死位置3
2018-02-23 17:26:20.435 INFO  HttpUtil:80 - 卡死位置4
2018-02-23 17:26:20.435 INFO  HttpUtil:83 - 卡死位置5
2018-02-23 17:26:20.435 INFO  AbstractPlugin:41 - 开始解析详情页...
2018-02-23 17:26:20.435 INFO  ZhihuPlugin:36 - 开始解析数据...
2018-02-23 17:26:20.436 INFO  ZhihuPlugin:75 - 共找到[8]条记录
2018-02-23 17:26:20.440 INFO  ZhihuPlugin:90 - 解析任务完成...
2018-02-23 17:26:20.741 INFO  TaskRunner:54 - 当前任务URL：https://www.zhihu.com/api/v4/members/huang-ling-87-25/activities?limit=8&after_id=1498964394&desktop=True，当前层深：16
2018-02-23 17:26:20.741 INFO  PluginFactory:136 - 找到解析插件：plugins.ZhihuPlugin
2018-02-23 17:26:20.741 INFO  AbstractPlugin:37 - https://www.zhihu.com/api/v4/members/huang-ling-87-25/activities?limit=8&after_id=1498964394&desktop=True 开始运行...
2018-02-23 17:26:20.745 INFO  HttpUtil:230 - 使用代理下载，proxy_ip:180.120.210.78, proxy_port:41496
2018-02-23 17:26:20.746 INFO  HttpUtil:65 - 卡死位置1
